t,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49
0,-4425.66,-7768.1,4639.34,6696.52,-3369.68,4635.4,-2821.82,8676.35,5056.65,9379.44,3344.8,6902.58,8016.86,6866.38,4086.23,3896.73,7439.88,905.772,6572.74,-7317.81,130.467,-3529.81,-2680.76,4379.13,1188.93,1656.95,-4797.96,-8953.11,-7808.93,9270.86,7801.9,-3984.31,8864.63,7326.43,66.6877,5693.97,-8560.73,-1224.2,-5937.17,8839.64,603.465,6198.25,-9723.64,8609.14,4904.4,6702.7,2341.08,4092.59,-126.47,3728.92,3625.92,-7534.71,-4855.68,-6157.01,8542.98,-9815.66,-8003.63,-125.947,6603.22,-8116.79,-2668.52,-2092.67,-5857.42,-3868.6,2141.5,-7536.55,-1610.4,-3366.68,-6360.87,6101.37,-2925.95,9809.06,964.415,1735.95,-4118.02,-9194.27,867.899,-9218.61,-8835.42,7944.19,2952.12,-6979.38,9367.3,925.117,7479.31,-3562.21,878.068,-8343.1,8282.06,1113.18,-443.861,3832.27,3278.98,1069.9,-3304.65,-2991.94,9469.29,-1810.82,6889.53,7915.68,8955.7,-2959.23,-8223.72,-228.685,9292.45,-4096.08,-6381.74,-7103.95,8452.22,-9.24121,6174.77,6710.68,-9271.34,-6098.18,4168.41,2916.21,2811.29,2066.64,-576.476,-1325.39,5169.68,-8510.23,-3196.04,9345.61,4314.39,311.745,6370.84,7137.74,-7306.25,-4255.71,7185.51,9984.11,6279.49,3876.17,-8846.02,4057.63,3144.56,4830.38,1464.39,9271.63,2855.21,1777.62,8949.56,-9495.77,-3754.43,-1892.13,7865.78,-3174.59,-1496.05,9058.5
0.01,-4425.66,-7768.1,4639.34,6696.52,-3369.68,4635.4,-2821.82,8676.35,5056.65,9379.44,3344.8,6902.58,8016.86,6866.38,4086.23,3896.73,7439.88,905.772,6572.74,-7317.81,130.467,-3529.81,-2680.75,4379.13,1188.93,1656.95,-4797.95,-8953.11,-7808.93,9270.86,7801.9,-3984.3,8864.63,7326.44,66.6883,5693.97,-8560.73,-1224.2,-5937.17,8839.63,603.456,6198.25,-9723.64,8609.14,4904.4,6702.7,2341.07,4092.59,-126.484,3728.93,3625.9,-7534.71,-4855.67,-6157.01,8542.98,-9815.66,-8003.63,-125.946,6603.22,-8116.79,-2668.52,-2092.67,-5857.42,-3868.6,2141.5,-7536.55,-1610.4,-3366.68,-6360.87,6101.37,-2925.95,9809.05,964.418,1735.95,-4118.03,-9194.26,867.899,-9218.6,-8835.42,7944.19,2952.12,-6979.38,9367.3,925.118,7479.31,-3562.21,878.069,-8343.09,8282.06,1113.18,-443.846,3832.26,3279,1069.9,-3304.65,-2991.94,9469.29,-1810.82,6889.53,7915.68,8955.7,-2959.23,-8223.72,-228.685,9292.45,-4096.08,-6381.74,-7103.95,8452.23,-9.23343,6174.77,6710.68,-9271.34,-6098.18,4168.41,2916.21,2811.29,2066.64,-576.476,-1325.39,5169.68,-8510.23,-3196.04,9345.61,4314.39,311.746,6370.84,7137.74,-7306.25,-4255.71,7185.51,9984.11,6279.49,3876.17,-8846.01,4057.63,3144.56,4830.37,1464.39,9271.63,2855.21,1777.62,8949.56,-9495.77,-3754.42,-1892.13,7865.78,-3174.6,-1496.05,9058.5
0.02,-4425.66,-7768.1,4639.34,6696.52,-3369.67,4635.4,-2821.82,8676.35,5056.65,9379.44,3344.8,6902.57,8016.86,6866.37,4086.23,3896.72,7439.88,905.774,6572.74,-7317.81,130.466,-3529.8,-2680.75,4379.13,1188.92,1656.95,-4797.92,-8953.11,-7808.93,9270.86,7801.9,-3984.3,8864.63,7326.45,66.6901,5693.97,-8560.72,-1224.2,-5937.17,8839.61,603.43,6198.25,-9723.63,8609.13,4904.4,6702.69,2341.07,4092.6,-126.524,3728.94,3625.85,-7534.71,-4855.67,-6157.01,8542.98,-9815.65,-8003.62,-125.945,6603.22,-8116.78,-2668.52,-2092.67,-5857.42,-3868.6,2141.5,-7536.55,-1610.4,-3366.67,-6360.86,6101.37,-2925.95,9809.05,964.427,1735.95,-4118.05,-9194.26,867.898,-9218.6,-8835.42,7944.2,2952.12,-6979.38,9367.29,925.12,7479.31,-3562.21,878.071,-8343.09,8282.06,1113.19,-443.801,3832.25,3279.04,1069.9,-3304.65,-2991.94,9469.28,-1810.81,6889.52,7915.68,8955.7,-2959.23,-8223.72,-228.685,9292.45,-4096.08,-6381.73,-7103.95,8452.23,-9.21009,6174.76,6710.68,-9271.34,-6098.18,4168.41,2916.21,2811.3,2066.64,-576.475,-1325.39,5169.68,-8510.23,-3196.04,9345.6,4314.39,311.748,6370.83,7137.74,-7306.25,-4255.71,7185.51,9984.11,6279.49,3876.17,-8846.01,4057.63,3144.56,4830.37,1464.39,9271.62,2855.2,1777.62,8949.56,-9495.76,-3754.42,-1892.13,7865.78,-3174.6,-1496.06,9058.49
0.03,-4425.66,-7768.09,4639.34,6696.52,-3369.66,4635.4,-2821.82,8676.34,5056.65,9379.43,3344.79,6902.57,8016.86,6866.37,4086.23,3896.72,7439.87,905.776,6572.74,-7317.8,130.466,-3529.8,-2680.75,4379.13,1188.91,1656.96,-4797.87,-8953.1,-7808.92,9270.86,7801.89,-3984.29,8864.62,7326.47,66.6931,5693.98,-8560.72,-1224.2,-5937.17,8839.57,603.387,6198.24,-9723.63,8609.13,4904.39,6702.69,2341.07,4092.6,-126.591,3728.96,3625.77,-7534.7,-4855.67,-6157.01,8542.97,-9815.65,-8003.62,-125.943,6603.22,-8116.78,-2668.51,-2092.67,-5857.42,-3868.6,2141.49,-7536.54,-1610.41,-3366.66,-6360.86,6101.37,-2925.95,9809.04,964.442,1735.94,-4118.1,-9194.26,867.897,-9218.6,-8835.41,7944.2,2952.11,-6979.39,9367.28,925.124,7479.3,-3562.2,878.074,-8343.08,8282.06,1113.19,-443.726,3832.23,3279.12,1069.9,-3304.64,-2991.94,9469.27,-1810.8,6889.52,7915.67,8955.69,-2959.23,-8223.71,-228.685,9292.45,-4096.08,-6381.73,-7103.95,8452.24,-9.17118,6174.76,6710.68,-9271.33,-6098.17,4168.42,2916.21,2811.3,2066.64,-576.473,-1325.39,5169.68,-8510.22,-3196.04,9345.6,4314.39,311.751,6370.83,7137.73,-7306.24,-4255.71,7185.51,9984.1,6279.49,3876.17,-8846.01,4057.63,3144.55,4830.36,1464.39,9271.62,2855.2,1777.62,8949.56,-9495.76,-3754.41,-1892.13,7865.79,-3174.6,-1496.06,9058.47
0.04,-4425.66,-7768.08,4639.34,6696.52,-3369.65,4635.4,-2821.82,8676.34,5056.64,9379.42,3344.78,6902.56,8016.85,6866.36,4086.22,3896.72,7439.86,905.779,6572.74,-7317.79,130.465,-3529.8,-2680.75,4379.13,1188.88,1656.96,-4797.8,-8953.1,-7808.92,9270.86,7801.89,-3984.28,8864.61,7326.5,66.6972,5693.98,-8560.71,-1224.2,-5937.17,8839.52,603.326,6198.23,-9723.62,8609.13,4904.38,6702.68,2341.06,4092.6,-126.685,3728.99,3625.66,-7534.7,-4855.66,-6157.01,8542.97,-9815.65,-8003.61,-125.939,6603.21,-8116.78,-2668.5,-2092.68,-5857.41,-3868.59,2141.49,-7536.54,-1610.41,-3366.65,-6360.85,6101.38,-2925.95,9809.03,964.463,1735.93,-4118.15,-9194.25,867.895,-9218.59,-8835.41,7944.2,2952.11,-6979.39,9367.27,925.13,7479.3,-3562.2,878.078,-8343.07,8282.06,1113.2,-443.621,3832.19,3279.23,1069.9,-3304.64,-2991.94,9469.25,-1810.79,6889.51,7915.67,8955.69,-2959.23,-8223.7,-228.685,9292.44,-4096.08,-6381.72,-7103.94,8452.25,-9.1167,6174.75,6710.68,-9271.33,-6098.17,4168.42,2916.2,2811.31,2066.64,-576.471,-1325.39,5169.68,-8510.22,-3196.04,9345.59,4314.39,311.756,6370.83,7137.73,-7306.24,-4255.7,7185.51,9984.09,6279.48,3876.17,-8846,4057.64,3144.55,4830.35,1464.4,9271.61,2855.2,1777.62,8949.55,-9495.75,-3754.4,-1892.12,7865.8,-3174.61,-1496.06,9058.45
0.05,-4425.65,-7768.08,4639.33,6696.52,-3369.64,4635.4,-2821.81,8676.33,5056.64,9379.4,3344.76,6902.54,8016.84,6866.34,4086.22,3896.72,7439.85,905.783,6572.73,-7317.78,130.464,-3529.79,-2680.74,4379.14,1188.86,1656.97,-4797.72,-8953.1,-7808.91,9270.85,7801.88,-3984.26,8864.61,7326.53,66.7026,5693.99,-8560.7,-1224.2,-5937.17,8839.45,603.248,6198.22,-9723.61,8609.12,4904.37,6702.68,2341.06,4092.61,-126.806,3729.03,3625.52,-7534.69,-4855.66,-6157,8542.96,-9815.64,-8003.6,-125.935,6603.21,-8116.77,-2668.49,-2092.69,-5857.41,-3868.59,2141.49,-7536.53,-1610.42,-3366.64,-6360.84,6101.39,-2925.94,9809.01,964.49,1735.91,-4118.23,-9194.24,867.893,-9218.58,-8835.4,7944.2,2952.1,-6979.4,9367.25,925.137,7479.29,-3562.19,878.083,-8343.06,8282.07,1113.22,-443.486,3832.15,3279.36,1069.9,-3304.63,-2991.94,9469.23,-1810.77,6889.5,7915.66,8955.68,-2959.23,-8223.7,-228.685,9292.44,-4096.07,-6381.71,-7103.93,8452.26,-9.04665,6174.74,6710.68,-9271.32,-6098.17,4168.42,2916.2,2811.32,2066.64,-576.468,-1325.39,5169.68,-8510.21,-3196.04,9345.58,4314.38,311.762,6370.82,7137.72,-7306.23,-4255.7,7185.5,9984.09,6279.48,3876.17,-8845.99,4057.64,3144.54,4830.33,1464.4,9271.59,2855.2,1777.62,8949.54,-9495.74,-3754.39,-1892.11,7865.81,-3174.61,-1496.07,9058.42
0.06,-4425.65,-7768.07,4639.33,6696.52,-3369.62,4635.4,-2821.81,8676.32,5056.63,9379.39,3344.74,6902.53,8016.83,6866.33,4086.22,3896.71,7439.84,905.788,6572.73,-7317.77,130.463,-3529.79,-2680.74,4379.14,1188.82,1656.97,-4797.61,-8953.09,-7808.91,9270.85,7801.87,-3984.24,8864.59,7326.58,66.7092,5694.01,-8560.69,-1224.2,-5937.17,8839.37,603.153,6198.2,-9723.59,8609.11,4904.35,6702.67,2341.05,4092.61,-126.954,3729.08,3625.34,-7534.68,-4855.65,-6157,8542.95,-9815.63,-8003.59,-125.93,6603.2,-8116.76,-2668.47,-2092.7,-5857.41,-3868.58,2141.48,-7536.52,-1610.43,-3366.62,-6360.82,6101.39,-2925.94,9808.99,964.524,1735.9,-4118.32,-9194.24,867.89,-9218.57,-8835.39,7944.21,2952.09,-6979.41,9367.23,925.145,7479.28,-3562.19,878.09,-8343.04,8282.07,1113.23,-443.321,3832.09,3279.53,1069.9,-3304.61,-2991.93,9469.21,-1810.75,6889.48,7915.65,8955.67,-2959.22,-8223.69,-228.685,9292.43,-4096.07,-6381.7,-7103.93,8452.27,-8.96101,6174.72,6710.68,-9271.32,-6098.16,4168.42,2916.2,2811.34,2066.64,-576.465,-1325.39,5169.68,-8510.2,-3196.03,9345.56,4314.38,311.769,6370.82,7137.71,-7306.23,-4255.7,7185.5,9984.07,6279.47,3876.18,-8845.98,4057.65,3144.53,4830.31,1464.4,9271.58,2855.2,1777.62,8949.53,-9495.73,-3754.37,-1892.1,7865.82,-3174.62,-1496.07,9058.39
0.07,-4425.64,-7768.05,4639.33,6696.52,-3369.6,4635.4,-2821.81,8676.31,5056.63,9379.37,3344.72,6902.51,8016.82,6866.31,4086.21,3896.71,7439.83,905.794,6572.72,-7317.76,130.461,-3529.78,-2680.73,4379.14,1188.78,1656.98,-4797.48,-8953.08,-7808.9,9270.84,7801.85,-3984.22,8864.58,7326.63,66.717,5694.02,-8560.68,-1224.2,-5937.17,8839.27,603.04,6198.18,-9723.58,8609.1,4904.33,6702.66,2341.04,4092.62,-127.129,3729.13,3625.14,-7534.66,-4855.64,-6157,8542.94,-9815.62,-8003.58,-125.925,6603.2,-8116.76,-2668.45,-2092.71,-5857.41,-3868.57,2141.48,-7536.51,-1610.44,-3366.59,-6360.81,6101.4,-2925.94,9808.96,964.563,1735.88,-4118.43,-9194.22,867.887,-9218.56,-8835.37,7944.21,2952.08,-6979.42,9367.21,925.155,7479.27,-3562.18,878.098,-8343.02,8282.07,1113.25,-443.126,3832.03,3279.73,1069.9,-3304.6,-2991.93,9469.18,-1810.72,6889.47,7915.65,8955.66,-2959.22,-8223.67,-228.685,9292.42,-4096.07,-6381.68,-7103.92,8452.29,-8.85979,6174.7,6710.68,-9271.31,-6098.16,4168.42,2916.2,2811.36,2066.63,-576.461,-1325.4,5169.68,-8510.19,-3196.03,9345.55,4314.37,311.778,6370.81,7137.7,-7306.22,-4255.69,7185.49,9984.06,6279.46,3876.18,-8845.97,4057.66,3144.52,4830.28,1464.4,9271.56,2855.19,1777.62,8949.52,-9495.72,-3754.35,-1892.09,7865.84,-3174.63,-1496.08,9058.35
0.08,-4425.64,-7768.04,4639.33,6696.52,-3369.58,4635.4,-2821.8,8676.29,5056.62,9379.35,3344.7,6902.49,8016.81,6866.29,4086.21,3896.71,7439.81,905.801,6572.71,-7317.74,130.459,-3529.77,-2680.72,4379.14,1188.74,1657,-4797.33,-8953.07,-7808.89,9270.84,7801.84,-3984.2,8864.57,7326.69,66.726,5694.04,-8560.66,-1224.2,-5937.17,8839.15,602.91,6198.16,-9723.56,8609.09,4904.31,6702.65,2341.03,4092.62,-127.331,3729.2,3624.9,-7534.65,-4855.62,-6156.99,8542.93,-9815.61,-8003.56,-125.918,6603.19,-8116.75,-2668.43,-2092.72,-5857.41,-3868.56,2141.47,-7536.5,-1610.45,-3366.57,-6360.79,6101.42,-2925.93,9808.94,964.609,1735.86,-4118.56,-9194.21,867.883,-9218.55,-8835.36,7944.21,2952.07,-6979.44,9367.18,925.167,7479.26,-3562.17,878.107,-8343,8282.08,1113.27,-442.901,3831.96,3279.96,1069.9,-3304.58,-2991.93,9469.14,-1810.7,6889.45,7915.63,8955.64,-2959.21,-8223.66,-228.685,9292.41,-4096.06,-6381.66,-7103.91,8452.31,-8.74295,6174.68,6710.68,-9271.3,-6098.15,4168.43,2916.19,2811.38,2066.63,-576.456,-1325.4,5169.68,-8510.17,-3196.03,9345.53,4314.37,311.788,6370.8,7137.69,-7306.21,-4255.69,7185.49,9984.05,6279.45,3876.18,-8845.95,4057.67,3144.51,4830.25,1464.4,9271.54,2855.19,1777.61,8949.5,-9495.71,-3754.33,-1892.07,7865.86,-3174.65,-1496.08,9058.3
0.09,-4425.63,-7768.02,4639.33,6696.52,-3369.55,4635.4,-2821.8,8676.28,5056.61,9379.32,3344.67,6902.47,8016.79,6866.26,4086.2,3896.7,7439.79,905.808,6572.71,-7317.72,130.457,-3529.76,-2680.71,4379.15,1188.68,1657.01,-4797.16,-8953.06,-7808.89,9270.83,7801.82,-3984.17,8864.55,7326.76,66.7362,5694.06,-8560.65,-1224.2,-5937.16,8839.02,602.763,6198.14,-9723.53,8609.08,4904.29,6702.63,2341.02,4092.63,-127.56,3729.27,3624.63,-7534.63,-4855.61,-6156.99,8542.91,-9815.6,-8003.55,-125.91,6603.18,-8116.73,-2668.41,-2092.73,-5857.41,-3868.55,2141.46,-7536.48,-1610.47,-3366.54,-6360.76,6101.43,-2925.93,9808.9,964.66,1735.83,-4118.7,-9194.2,867.879,-9218.54,-8835.34,7944.22,2952.06,-6979.46,9367.15,925.18,7479.24,-3562.16,878.117,-8342.97,8282.08,1113.3,-442.645,3831.87,3280.22,1069.9,-3304.56,-2991.92,9469.1,-1810.66,6889.43,7915.62,8955.63,-2959.21,-8223.64,-228.685,9292.4,-4096.05,-6381.64,-7103.89,8452.34,-8.61051,6174.66,6710.68,-9271.29,-6098.15,4168.43,2916.19,2811.4,2066.63,-576.451,-1325.4,5169.68,-8510.16,-3196.03,9345.51,4314.36,311.799,6370.79,7137.68,-7306.2,-4255.68,7185.48,9984.03,6279.44,3876.18,-8845.93,4057.68,3144.5,4830.22,1464.4,9271.51,2855.19,1777.61,8949.49,-9495.69,-3754.31,-1892.05,7865.88,-3174.66,-1496.09,9058.25
0.1,-4425.62,-7768.01,4639.32,6696.52,-3369.52,4635.4,-2821.79,8676.26,5056.6,9379.29,3344.64,6902.45,8016.77,6866.24,4086.19,3896.7,7439.77,905.817,6572.7,-7317.7,130.455,-3529.75,-2680.7,4379.15,1188.62,1657.02,-4796.98,-8953.05,-7808.88,9270.82,7801.8,-3984.13,8864.53,7326.84,66.7475,5694.08,-8560.63,-1224.2,-5937.16,8838.88,602.598,6198.12,-9723.51,8609.07,4904.26,6702.62,2341,4092.64,-127.816,3729.36,3624.32,-7534.61,-4855.6,-6156.98,8542.89,-9815.59,-8003.53,-125.901,6603.18,-8116.72,-2668.38,-2092.75,-5857.4,-3868.54,2141.45,-7536.47,-1610.48,-3366.51,-6360.74,6101.45,-2925.92,9808.87,964.718,1735.8,-4118.86,-9194.18,867.874,-9218.52,-8835.32,7944.23,2952.04,-6979.47,9367.11,925.195,7479.23,-3562.15,878.129,-8342.94,8282.09,1113.32,-442.36,3831.78,3280.52,1069.9,-3304.54,-2991.92,9469.06,-1810.62,6889.41,7915.61,8955.61,-2959.2,-8223.63,-228.685,9292.39,-4096.05,-6381.62,-7103.88,8452.37,-8.46243,6174.63,6710.68,-9271.28,-6098.14,4168.43,2916.19,2811.43,2066.62,-576.445,-1325.4,5169.68,-8510.14,-3196.02,9345.48,4314.35,311.812,6370.78,7137.66,-7306.19,-4255.67,7185.47,9984.01,6279.43,3876.19,-8845.91,4057.69,3144.49,4830.19,1464.41,9271.49,2855.18,1777.61,8949.47,-9495.68,-3754.28,-1892.03,7865.9,-3174.67,-1496.1,9058.19
0.11,-4425.61,-7767.99,4639.32,6696.52,-3369.49,4635.4,-2821.78,8676.24,5056.59,9379.26,3344.61,6902.42,8016.75,6866.21,4086.18,3896.69,7439.75,905.826,6572.69,-7317.68,130.452,-3529.74,-2680.69,4379.15,1188.56,1657.04,-4796.77,-8953.04,-7808.86,9270.81,7801.78,-3984.1,8864.51,7326.92,66.7601,5694.1,-8560.61,-1224.2,-5937.16,8838.72,602.416,6198.09,-9723.48,8609.05,4904.23,6702.6,2340.99,4092.65,-128.1,3729.45,3623.99,-7534.59,-4855.58,-6156.98,8542.88,-9815.58,-8003.51,-125.892,6603.17,-8116.71,-2668.35,-2092.76,-5857.4,-3868.53,2141.44,-7536.45,-1610.5,-3366.47,-6360.71,6101.46,-2925.92,9808.83,964.782,1735.77,-4119.03,-9194.17,867.869,-9218.5,-8835.3,7944.23,2952.03,-6979.49,9367.07,925.211,7479.21,-3562.14,878.142,-8342.91,8282.09,1113.35,-442.043,3831.68,3280.84,1069.9,-3304.52,-2991.91,9469.01,-1810.58,6889.38,7915.59,8955.59,-2959.19,-8223.61,-228.685,9292.38,-4096.04,-6381.59,-7103.87,8452.39,-8.29871,6174.6,6710.67,-9271.26,-6098.13,4168.44,2916.18,2811.45,2066.62,-576.438,-1325.4,5169.68,-8510.12,-3196.02,9345.46,4314.34,311.826,6370.76,7137.65,-7306.17,-4255.67,7185.46,9983.99,6279.42,3876.19,-8845.89,4057.7,3144.47,4830.15,1464.41,9271.46,2855.18,1777.61,8949.45,-9495.66,-3754.25,-1892.01,7865.93,-3174.69,-1496.11,9058.12
0.12,-4425.6,-7767.96,4639.32,6696.53,-3369.45,4635.41,-2821.78,8676.22,5056.58,9379.23,3344.57,6902.39,8016.73,6866.17,4086.18,3896.68,7439.72,905.836,6572.68,-7317.65,130.45,-3529.72,-2680.68,4379.16,1188.49,1657.05,-4796.54,-8953.03,-7808.85,9270.8,7801.76,-3984.06,8864.48,7327.02,66.7739,5694.13,-8560.58,-1224.2,-5937.16,8838.54,602.216,6198.06,-9723.45,8609.03,4904.2,6702.58,2340.97,4092.66,-128.411,3729.55,3623.62,-7534.57,-4855.56,-6156.97,8542.86,-9815.56,-8003.48,-125.882,6603.16,-8116.69,-2668.32,-2092.78,-5857.4,-3868.52,2141.43,-7536.43,-1610.52,-3366.44,-6360.68,6101.48,-2925.91,9808.79,964.851,1735.74,-4119.22,-9194.15,867.863,-9218.48,-8835.27,7944.24,2952.01,-6979.52,9367.03,925.229,7479.19,-3562.13,878.156,-8342.87,8282.1,1113.39,-441.696,3831.56,3281.19,1069.9,-3304.5,-2991.9,9468.95,-1810.54,6889.36,7915.58,8955.57,-2959.18,-8223.58,-228.685,9292.36,-4096.03,-6381.57,-7103.85,8452.43,-8.11932,6174.57,6710.67,-9271.25,-6098.12,4168.44,2916.18,2811.49,2066.61,-576.431,-1325.41,5169.69,-8510.1,-3196.02,9345.43,4314.33,311.841,6370.75,7137.63,-7306.16,-4255.66,7185.45,9983.97,6279.41,3876.19,-8845.87,4057.71,3144.45,4830.1,1464.41,9271.42,2855.17,1777.61,8949.42,-9495.63,-3754.21,-1891.99,7865.96,-3174.71,-1496.12,9058.05
